rank,arxiv_id,title,published_date,cited_by_count,total_score,abs_url
2699,2604.20347,A Vision-Language-Action Model for Adaptive Ultrasound-Guided Needle Insertion and Needle Tracking,2026-04-22,missing,1.0,https://arxiv.org/abs/2604.20347
2700,2604.20295,ETac: A Lightweight and Efficient Tactile Simulation Framework for Learning Dexterous Manipulation,2026-04-22,missing,1.0,https://arxiv.org/abs/2604.20295
2701,2604.20253,Visualising CTL Witnesses and Counterexamples -- Extended Version,2026-04-22,missing,1.0,https://arxiv.org/abs/2604.20253
2702,2604.20246,Cortex 2.0: Grounding World Models in Real-World Industrial Deployment,2026-04-22,missing,1.0,https://arxiv.org/abs/2604.20246
2703,2604.20151,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,2026-04-22,missing,1.0,https://arxiv.org/abs/2604.20151
2704,2604.19839,Environmental Understanding Vision-Language Model for Embodied Agent,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19839
2705,2604.19734,UniT: Toward a Unified Physical Language for Human-to-Humanoid Policy Learning and World Modeling,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19734
2706,2604.19730,FASTER: Value-Guided Sampling for Fast RL,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19730
2707,2604.19728,VLA Foundry: A Unified Framework for Training Vision-Language-Action Models,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19728
2708,2604.19677,Learning Hybrid-Control Policies for High-Precision In-Contact Manipulation Under Uncertainty,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19677
2709,2604.19522,GenerativeMPC: VLM-RAG-guided Whole-Body MPC with Virtual Impedance for Bimanual Mobile Manipulation,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19522
2710,2604.19469,Wrench-Aware Admittance Control for Unknown-Payload Manipulation,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19469
2711,2604.19404,M$^{2}$GRPO: Mamba-based Multi-Agent Group Relative Policy Optimization for Biomimetic Underwater Robots Pursuit,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19404
2712,2604.19374,Achieving Interaction Fluidity in a Wizard-of-Oz Robotic System: A Prototype for Fluid Error-Correction,2026-04-21,missing,1.0,https://arxiv.org/abs/2604.19374
2713,2604.18905,Task-Adaptive Admittance Control for Human-Quadrotor Cooperative Load Transportation with Dynamic Cable-Length Regulation,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18905
2714,2604.18887,"HALO: Hybrid Auto-encoded Locomotion with Learned Latent Dynamics, Poincaré Maps, and Regions of Attraction",2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18887
2715,2604.18484,XEmbodied: A Foundation Model with Enhanced Geometric and Physical Cues for Large-Scale Embodied Environments,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18484
2716,2604.18432,Real-Time Algorithms for Model Predictive Control of Hybrid Dynamical Systems,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18432
2717,2604.18236,COFFAIL: A Dataset of Successful and Anomalous Robot Skill Executions in the Context of Coffee Preparation,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18236
2718,2604.18205,A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18205
2719,2604.18090,"Muscle-inspired magnetic actuators that push, pull, crawl, and grasp",2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18090
2720,2604.18000,Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.18000
2721,2604.17896,Can Explicit Physical Feasibility Benefit VLA Learning? An Empirical Study,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.17896
2722,2604.17888,SpaceDex: Generalizable Dexterous Grasping in Tiered Workspaces,2026-04-20,missing,1.0,https://arxiv.org/abs/2604.17888
